#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-10-24T20:16:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bd0d26547d7	
#INFO	-out.form=mini	
#INFO	-out.max=unlimited	
#INFO	queryParameters=53	
#-oc.form=dec
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&&-ref=VIZ5bd0d26547d7&-oc.form=sexa&-c.r=10&-c.geom=r&-order=I&-out.orig=standard&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Source&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Dup&-out=FG&-out=e_FG&-out=Gmag&-out=e_Gmag&-out=FBP&-out=e_FBP&-out=BPmag&-out=e_BPmag&-out=FRP&-out=e_FRP&-out=RPmag&-out=e_RPmag&-out=BP-RP&-out=RV&-out=e_RV&-out=Teff&-out=AG&-out=E(BP-RP)&-out=Rad&-out=Lum&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcsec&
#-c.r= 10
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Epoch
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Dup
#-out=FG
#-out=e_FG
#-out=Gmag
#-out=e_Gmag
#-out=FBP
#-out=e_FBP
#-out=BPmag
#-out=e_BPmag
#-out=FRP
#-out=e_FRP
#-out=RPmag
#-out=e_RPmag
#-out=E(BR/RP)
#-out=BP-RP
#-out=RV
#-out=e_RV
#-out=o_RV
#-out=Var
#-out=ELON
#-out=ELAT
#-out=Teff
#-out=AG
#-out=E(BP-RP)
#-out=Rad
#-out=Lum
#-out=RAJ2000
#-out=e_RAJ2000
#-out=DEJ2000
#-out=e_DEJ2000
#-out.max=unlimited
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Epoch	(F6.1)	[2015.5] Reference epoch (ref_epoch)	[ucd=meta.ref;time.epoch]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Dup	(I1)	[0/1] Source with duplicate sources (duplicated_source) (21)	[ucd=meta.code.status]
#Column	FG	(E11.4)	G-band mean flux (phot_g_mean_flux)	[ucd=phot.flux;stat.mean;em.opt]
#Column	e_FG	(E11.4)	Error on G-band mean flux (phot_g_mean_flux_error)	[ucd=stat.error;phot.flux;stat.mean]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FBP	(E11.4)	? Mean flux in the integrated BP band (phot_bp_mean_flux)	[ucd=phot.flux;stat.mean;em.opt.B]
#Column	e_FBP	(E11.4)	? Error on the integrated BP mean flux (phot_bp_mean_flux_error) (25)	[ucd=stat.error;phot.flux;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FRP	(E11.4)	? Mean flux in the integrated RP band (phot_rp_mean_flux)	[ucd=phot.flux.density;em.opt.R]
#Column	e_FRP	(E11.4)	? Error on the integrated RP mean flux (phot_rp_mean_flux_error) (28)	[ucd=stat.error;phot.flux;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	E(BR/RP)	(F6.3)	? BP/RP excess factor (phot_bp_rp_excess_factor)	[ucd=stat.value]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
#Column	o_RV	(I3)	Number of transits used to compute radial velocity (rv_nb_transits)	[ucd=meta.number]
#Column	Var	(a13)	Photometric variability flag (phot_variable_flag) (31)	[ucd=meta.code;src.var]
#Column	ELON	(F15.11)	Ecliptic longitude (ecl_lon) (33)	[ucd=pos.ecliptic.lon]
#Column	ELAT	(F15.11)	Ecliptic latitude (ecl_lat) (33)	[ucd=pos.ecliptic.lat]
#Column	Teff	(F7.2)	? Stellar effective temperature (estimate from Apsis-Priam) (teff_val)	[ucd=phys.temperature.effective]
#Column	AG	(F7.4)	? Estimate of extinction in the G band from Apsis-Priam (a_g_val)	[ucd=phys.absorption.gal]
#Column	E(BP-RP)	(F7.4)	? Estimate of redenning E(BP-RP) from Apsis-Priam (e_bp_min_rp_val)	[ucd=phot.color.excess]
#Column	Rad	(F6.2)	? Estimate of radius from Apsis-FLAME (radius_val)	[ucd=phys.size.radius]
#Column	Lum	(F9.3)	? Esimate of luminosity from Apsis-FLAME (lum_val)	[ucd=phys.luminosity]
#Column	RAJ2000	(F15.11)	Barycentric right ascension (ICRS) at Ep=2000.0 (added by CDS) (ra_epoch2000)	[ucd=pos.eq.ra]
#Column	e_RAJ2000	(F7.4)	Standard error of right ascension (e_RA*cosDE) (added by CDS) (ra_epoch2000_error)	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(F15.11)	Barycentric declination (ICRS) at Ep=2000.0 (added by CDS) (dec_epoch2000)	[ucd=pos.eq.dec]
#Column	e_DEJ2000	(F7.4)	Standard error of declination (added by CDS) (dec_epoch2000_error)	[ucd=stat.error;pos.eq.dec]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Epoch|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Dup|FG|e_FG|Gmag|e_Gmag|FBP|e_FBP|BPmag|e_BPmag|FRP|e_FRP|RPmag|e_RPmag|E(BR/RP)|BP-RP|RV|e_RV|o_RV|Var|ELON|ELAT|Teff|AG|E(BP-RP)|Rad|Lum|RAJ2000|e_RAJ2000|DEJ2000|e_DEJ2000
 |deg|mas|deg|mas| |yr|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr| |e-/s|e-/s|mag|mag|e-/s|e-/s|mag|mag|e-/s|e-/s|mag|mag| |mag|km/s|km/s| | |deg|deg|K|mag|mag|solRad|solLum|deg|mas|deg|mas
----------------------------|---------------|-------|---------------|-------|-------------------|------|----------|-------|---------|------|---------|------|-|-----------|-----------|-------|------|-----------|-----------|-------|------|-----------|-----------|-------|------|------|-------|-------|-----|---|-------------|---------------|---------------|-------|-------|-------|------|---------|---------------|-------|---------------|-------
Gaia DR2 3312744219987686144|067.16606480353| 0.3224|+15.87078720043| 0.2329|3312744219987686144|2015.5|   20.8354| 0.3731|  103.330| 0.748|  -18.625| 0.574|1| 8.9682e+08| 2.9641e+06| 3.3066|0.0036| 4.7967e+08| 1.1526e+07| 3.6490|0.0261| 4.2068e+08| 7.8519e+05| 3.2020|0.0020| 1.004| 0.4470|       |     |  0|NOT_AVAILABLE| 67.96238555178| -5.83863983076|6561.00|       |       |  6.92|   79.902| 67.16560227960|11.6009| 15.87086739080| 8.8953

Gaia DR2 48026706557926528  |067.15465729102| 0.3701|+19.18027817758| 0.2481|  48026706557926528|2015.5|   20.3130| 0.4261|  107.503| 1.036|  -38.066| 0.700|1| 1.0277e+09| 2.7769e+06| 3.1587|0.0029| 3.7248e+08| 5.1901e+06| 3.9236|0.0151| 6.7286e+08| 4.2044e+06| 2.6921|0.0068| 1.017| 1.2315|       |     |  0|NOT_AVAILABLE| 68.46549089183| -2.56737662658|4670.75|       |       | 16.64|  118.675| 67.15416722650|16.0637| 19.18044207250|10.8583

Gaia DR2 3312052249216467328|064.94886907388| 0.3818|+15.62754121767| 0.3168|3312052249216467328|2015.5|   22.6234| 0.4614|  113.158| 0.967|  -25.270| 0.759|0| 9.1065e+08| 7.3004e+05| 3.2900|0.0009| 3.3775e+08| 8.0916e+06| 4.0299|0.0260| 6.0487e+08| 3.3719e+06| 2.8078|0.0061| 1.035| 1.2221|       |     |  0|NOT_AVAILABLE| 65.80626080630| -5.73243860504|4707.25|       |       | 13.76|   83.791| 64.94836316380|14.9944| 15.62765001790|11.7702

Gaia DR2 3314024566918614528|065.73420939642| 0.3811|+17.54239464643| 0.2135|3314024566918614528|2015.5|   19.0632| 0.3699|  100.780| 0.920|  -28.080| 0.640|1| 8.1120e+08| 1.3926e+06| 3.4155|0.0019| 3.2747e+08| 2.1315e+06| 4.0635|0.0071| 5.5404e+08| 9.6820e+05| 2.9031|0.0019| 1.087| 1.1604|       |     |  0|NOT_AVAILABLE| 66.87117703477| -3.96969642327|4946.50|       |       | 13.51|   98.515| 65.73375431740|14.2666| 17.54251554640| 9.9230

Gaia DR2 3312748824191278208|067.14421556282| 0.3537|+15.96203326256| 0.2633|3312748824191278208|2015.5|   21.4183| 0.3457|  111.325| 0.933|  -62.161| 0.761|1| 7.5529e+08| 2.7878e+06| 3.4931|0.0040| 3.0197e+08| 1.6508e+06| 4.1515|0.0059| 5.0376e+08| 1.1333e+06| 3.0064|0.0024| 1.067| 1.1451|       |     |  0|NOT_AVAILABLE| 67.95575839073| -5.74523822913|4987.00|       |       | 11.37|   72.000| 67.14371702320|14.4718| 15.96230089970|11.7991

Gaia DR2 145674574739951872 |066.34283716887| 0.2966|+22.29367965313| 0.2147| 145674574739951872|2015.5|   21.4871| 0.3644|  101.028| 0.943|  -44.473| 0.737|0| 4.2669e+08| 1.2196e+06| 4.1131|0.0031| 2.7314e+08| 4.5552e+05| 4.2604|0.0018| 1.9067e+08| 3.9579e+05| 4.0612|0.0023| 1.087| 0.1992|       |     |  0|NOT_AVAILABLE| 68.20472522145| +0.62660656046|7847.67| 0.4767| 0.2410|  3.31|   37.346| 66.34236704330|14.6207| 22.29387113410|11.4266

Gaia DR2 3306483944376792832|069.53988625856| 0.2758|+12.51077298838| 0.2048|3306483944376792832|2015.5|   22.6374| 0.3453|  104.912| 0.670|  -13.488| 0.528|1| 3.9808e+08| 1.1346e+06| 4.1884|0.0031| 2.6035e+08| 2.8788e+05| 4.3125|0.0012| 1.7728e+08| 2.5658e+05| 4.1403|0.0016| 1.099| 0.1722|       |     |  0|NOT_AVAILABLE| 69.75700415348| -9.50225435592|7941.33| 0.5370| 0.2563|  2.97|   31.673| 69.53942356870|10.3845| 12.51083106190| 8.1819

Gaia DR2 145727729254950912 |066.57743381062| 0.4719|+22.81338167443| 0.3362| 145727729254950912|2015.5|   22.2755| 0.4977|  109.348| 0.942|  -47.132| 0.776|1| 4.1322e+08| 1.7761e+06| 4.1479|0.0047| 2.4739e+08| 3.7641e+05| 4.3679|0.0017| 2.0496e+08| 7.0444e+05| 3.9828|0.0037| 1.095| 0.3852|       |     |  0|NOT_AVAILABLE| 68.50123510161| +1.10528347997|7109.50|       |       |  3.75|   32.403| 66.57692305100|14.6142| 22.81358460160|12.0296

Gaia DR2 3314063977537054464|066.37276459522| 0.8408|+17.92825269004| 0.1533|3314063977537054464|2015.5|          |       |         |      |         |      |0| 1.2695e+07| 7.9301e+04| 7.9293|0.0068| 1.5471e+07| 9.5982e+06| 7.3776|0.6736| 1.0114e+07| 8.5125e+05| 7.2496|0.0914| 2.015| 0.1280|       |     |  0|NOT_AVAILABLE| 67.53528667930| -3.68733890907|5651.95|       |       |      |         | 66.37276459520| 0.8408| 17.92825269000| 0.1533
Gaia DR2 3314063977537054208|066.37292139209| 0.5366|+17.92777301146| 0.3635|3314063977537054208|2015.5|   22.1947| 0.4541|  109.645| 1.469|  -30.806| 1.119|0| 3.7184e+08| 9.8112e+05| 4.2625|0.0029| 2.5679e+08| 3.1432e+05| 4.3274|0.0013| 1.5884e+08| 2.7983e+05| 4.2595|0.0019| 1.118| 0.0680|       |     |  0|NOT_AVAILABLE| 67.53535746322| -3.68783625965|8947.67| 0.3180| 0.1390|      |         | 66.37242521670|22.7750| 17.92790564840|17.3427
Gaia DR2 3314063977537054336|066.37268639714|40.3017|+17.92788971826| 5.2311|3314063977537054336|2015.5|          |       |         |      |         |      |0| 1.0765e+07| 1.0755e+06| 8.1083|0.1085| 3.0479e+07| 2.0365e+07| 6.6414|0.7255| 1.9150e+07| 1.3605e+07| 6.5565|0.7714| 4.610| 0.0849|       |     |  0|NOT_AVAILABLE| 67.53515497498| -3.68768533331|5095.63|       |       |      |         | 66.37268639710|40.3017| 17.92788971830| 5.2311

Gaia DR2 60248877811328768  |047.90806427299| 0.2392|+19.72664914171| 0.1762|  60248877811328768|2015.5|   20.3349| 0.2515|  156.008| 0.532|   -6.224| 0.394|1| 4.7440e+08| 1.9877e+06| 3.9980|0.0045| 1.9739e+08| 5.0941e+05| 4.6131|0.0028| 3.3822e+08| 9.8175e+05| 3.4389|0.0032| 1.129| 1.1742|  22.84| 0.21|  6|NOT_AVAILABLE| 50.85367766188| +1.82374780363|4846.00| 0.1447| 0.0633| 10.22|   51.909| 47.90735068810| 8.2497| 19.72667593710| 6.1030

Gaia DR2 3312759303911629952|066.58693600671| 0.3336|+15.61821057381| 0.1705|3312759303911629952|2015.5|   22.4141| 0.4969|   85.393| 0.768|  -14.869| 0.475|1| 3.4197e+08| 7.0560e+05| 4.3534|0.0022| 2.0700e+08| 1.8379e+05| 4.5615|0.0010| 1.6904e+08| 2.6468e+05| 4.1919|0.0017| 1.100| 0.3696|       |     |  0|NOT_AVAILABLE| 67.36907139791| -6.00054230547|7114.00| 0.7513| 0.3888|  3.39|   26.488| 66.58655424580|11.9036| 15.61827459070| 7.3675

Gaia DR2 3409207536188836352|075.77425582871| 0.2608|+21.58978478688| 0.2107|3409207536188836352|2015.5|   18.4194| 0.2940|   68.241| 0.484|  -41.319| 0.354|1| 2.8396e+08| 9.4605e+05| 4.5552|0.0036| 1.8619e+08| 1.5803e+05| 4.6765|0.0009| 1.3143e+08| 7.4863e+05| 4.4652|0.0062| 1.119| 0.2113|       |     |  0|NOT_AVAILABLE| 76.78816436504| -1.19941250305|7985.75| 0.5405| 0.2700|  3.06|   34.286| 75.77393984450| 7.5089| 21.58996268640| 5.4884

Gaia DR2 3309419984020071552|068.46261629353| 0.6870|+14.84432307564| 0.2163|3309419984020071552|2015.5|   22.6703| 0.8800|  101.538| 0.802|  -24.090| 0.527|1| 2.8670e+08| 8.6168e+05| 4.5448|0.0033| 1.7799e+08| 1.5270e+05| 4.7254|0.0009| 1.4145e+08| 2.5058e+05| 4.3854|0.0019| 1.114| 0.3400|       |     |  0|NOT_AVAILABLE| 69.04998704807| -7.04228394146|7343.10|       |       |  2.89|   21.861| 68.46216402100|12.4511| 14.84442679790| 8.1746

